input,output
аль пачи но,Аль Пачино
гуд фелас,Славные парни
роберт дениро,Роберт Де Ниро
ска фейс,Лицо со шрамом
Крестный отец,Крестный отец
резервоар догс,Бешеные псы
мартин скорсез,Мартин Скорсезе
брайан пальма де,Брайан Де Пальма
джо пеше,Джо Пеши
Таксист,Таксист
друзья едее койла,Друзья Эдди Койла
долгой прощание,Долгое прощание
фильм вор майкл ман,Фильм Вор Майкла Манна
николос пиледж,Николас Пиледжи
Харви Кейтель,Харви Кейтель
путь кар ли то,Путь Карлито
эльмор линард,Элмор Леонард
шватка 1995 фильм,Фильм Схватка 1995
король нью йорке,Король Нью-Йорка
Мартин Скорсезе,Мартин Скорсезе
Роберт донеро,Роберт Де Ниро
мартин скорсези,Мартин Скорсезе
такси драйвер,Таксист
Крестов отец,Крестный отец
францис фрод каппола,Фрэнсис Форд Коппола
брайан депальма,Брайан Де Пальма
гудфеллас,Славные парни
доны брассо,Донни Браско
Казино,Казино
Побег из Алькатраса,Побег из Алькатраса
Молчанье ягнят,Молчание ягнят
Семь,Семь
Да вид Финчер,Дэвид Финчер
Квентин Тарантина фильмы,Квентин Тарантино фильмы
Бесик инстинкт фильм,Основной инстинкт фильм
Бойцовский клуб,Бойцовский клуб
подозрительные лиса,Подозрительные лица
Шестое чуйство,Шестое чувство
Джонатон Демми режиссер Молчание ягнят,Джонатан Демме режиссер Молчание ягнят
Пулпфикшн,Криминальное чтиво
Давид Фингер Севен смотреть,Дэвид Финчер «Семь»
Андрей Кевин Вокер сценарист севен,Эндрю Кевин Уокер сценарист «Семь»
эл эй конфиденшл смотреть,L.A. Confidential смотреть
Основной инстинкт Пол Вервин,Основной инстинкт Пол Верховен
Игра Финчера,Игра Финчера
Жестокие намирения 1999,Жестокие намерения 1999
Рене Русо Томас краун 1999,Рене Руссо Томас Краун 1999
Джеймс Элрой Лос Анджелес конфиденшл,Джеймс Эллрой L.A. Confidential
Схватка Майкэл Манн 1995,Схватка Майкл Манн 1995
Se7en,Se7en
Девит фенчер фильм сем,Дэвид Финчер фильм Семь
Аль паченто схватка,Аль Пачино Схватка
бейсик инстинкт шарон стоун,Основной инстинкт Шэрон Стоун
копи кат,Копикэт
Молчание ягнят Энтони Хопкинс,Молчание ягнят Энтони Хопкинс
фьюгитив Харисон фоорд,Побег Харрисон Форд
эдвард нортн бойцовский клуб,Эдвард Нортон Бойцовский клуб
кевин спэйси юзуал подозреваемые,Кевин Спейси Обычные подозреваемые
зе гейм фильм 1997 майкл даглас,Игра 1997 Майкл Дуглас
Бойцовский клуб 1999,Бойцовский клуб 1999
Властелин коры возвращение короля,Властелин колец: Возвращение короля
Миллионер из трушоб,Миллионер из трущоб
Отсупники Мартин скорсезе,Отступники Мартин Скорсезе
гладио тор рассел кроу,Гладиатор Рассел Кроу
Чикаго,Чикаго
Авиатор Мартин скорседж,Авиатор Мартин Скорсезе
Вики Кристи на Барселона,Вики Кристина Барселона
мулен руч,Мулен Руж!
Чтец Кейт Винслет,Чтец Кейт Уинслет
Горбатая гора,Горбатая гора
Хавьер бар дем фильм нет страны для стариков,Хавьер Бардем фильм «Старикам тут не место»
Катерин Бигало фильм герт лоркер,Кэтрин Бигелоу фильм «The Hurt Locker»
Дэн бойл слэмдог миллионер режиссер,Дэнни Бойл режиссёр «Slumdog Millionaire»
Ар рахман саундтрек слэмдог,А. Р. Рахман саундтрек к «Slumdog Millionaire»
Говард Шор,Говард Шор
Пол Гаггис сценарий фильм краш,Пол Хаггис сценарий фильма «Crash»
Кейт Бланшет актриса аэвиатор,Кейт Бланшетт актриса «Авиатор»
Джеймс Орнер музыка игры разума,Джеймс Хорнер музыка к «Игры разума»
Марк боул сценарист херт локер,Марк Боал сценарист «The Hurt Locker»
Кэтрин Зета-Джонс,Кэтрин Зета-Джонс
арар рахман,А. Р. Рахман
дэнни бой,Дэнни Бойл
хафьер бардем,Хавьер Бардем
властелин колец возвращение кораля,Властелин колец: Возвращение короля
Слумдог Миллионер,Слумдог Миллионер
тильда свинтон,Тильда Суинтон
фильм херд локер,фильм The Hurt Locker
форест уайтакер,Форест Уиттакер
питер джексен,Питер Джексон
Малышка на миллион,Малышка на миллион
фильм на чало с ди каприо,фильм Начало с Леонардо ДиКаприо
темный рисарь крестиан бейл,Тёмный рыцарь Кристиан Бэйл
интер стеллар ханц зиммер,Интерстеллар Ханс Циммер
мементос гай перс,Мементо Гай Пирс
Тенет,Тенет
престиж нолан хью джекман кристиан бейл,Престиж Кристофер Нолан Хью Джекман Кристиан Бэйл
том харди бейн в темном рисаре,Том Харди Бэйн в Тёмном рыцаре
марион котийяр начало,Марион Котийяр Начало
килиан мерфи в на чале,Киллиан Мёрфи в Начале
Дюнкерк,Дюнкерк
кристиан бел бэтмен начало,Кристиан Бейл Бэтмен: Начало
